@relation 20D.arff_feaSele

@attribute Fea0 numeric
@attribute class {1,-1}

@data

0.113402,1
0.103093,1
0.109966,1
0.069364,1
0.115942,1
0.138554,1
0.075972,1
0.107955,1
0.072222,1
0.073034,1
0.051383,1
0.077994,1
0.125591,1
0.064655,1
0.232227,1
0.103627,1
0.068966,1
0.106383,1
0.042969,1
0.08867,1
0.050847,1
0.107784,1
0.086207,1
0.127072,1
0.182965,1
0.084507,1
0.092391,1
0.066116,1
0.082153,1
0.159864,1
0.082902,1
0.076602,1
0.08589,1
0.07772,1
0.236181,1
0.07,1
0.129338,1
0.107527,1
0.110169,1
0.170886,1
0.063492,1
0.076271,1
0.102899,1
0.091168,1
0.101796,1
0.092105,1
0.070796,1
0.102041,1
0.128391,1
0.086207,1
0.133333,1
0.127841,1
0.154506,1
0.106897,1
0.08125,1
0.0954,1
0.099476,1
0.063037,1
0.116022,1
0.125348,1
0.100629,1
0.072539,1
0.11583,1
0.110727,1
0.1125,1
0.087432,1
0.108303,1
0.09542,1
0.171053,1
0.090265,1
0.089041,1
0.11054,1
0.15,1
0.070288,1
0.09311,1
0.128114,1
0.090106,1
0.133588,1
0.133333,1
0.084158,1
0.112782,1
0.070175,1
0.066066,1
0.092269,1
0.090106,1
0.179104,1
0.111888,1
0.127232,1
0.078818,1
0.110345,1
0.079625,1
0.061321,1
0.128378,1
0.088292,1
0.096537,1
0.094796,1
0.135266,1
0.068376,1
0.106509,1
0.068306,1
0.076142,1
0.065163,1
0.125604,1
0.111345,1
0.1075,1
0.097458,1
0.079022,1
0.174699,1
0.162651,1
0.1375,1
0.128463,1
0.173502,1
0.082333,1
0.074074,1
0.04893,1
0.092179,1
0.083333,1
0.113402,1
0.08,1
0.102113,1
0.148649,1
0.153846,1
0.073171,1
0.094708,1
0.126374,1
0.112565,1
0.146718,1
0.072115,1
0.098544,1
0.072816,1
0.119691,1
0.153558,1
0.082524,1
0.119403,1
0.072464,1
0.079505,1
0.120823,1
0.138514,1
0.072464,1
0.081218,1
0.115385,1
0.11811,1
0.140684,1
0.07767,1
0.073171,1
0.125767,1
0.052402,1
0.070707,1
0.065574,1
0.106754,1
0.071429,1
0.124464,1
0.135922,1
0.108434,1
0.11747,1
0.066667,1
0.094488,1
0.192308,1
0.127208,1
0.06383,1
0.06639,1
0.1,1
0.08377,1
0.075269,1
0.097276,1
0.078873,1
0.073529,1
0.067227,1
0.120879,1
0.084986,1
0.091912,1
0.066964,1
0.097532,1
0.097143,1
0.114165,1
0.087805,1
0.035294,1
0.120823,1
0.078947,1
0.13,1
0.118644,1
0.069767,1
0.176656,1
0.083916,1
0.088968,1
0.098958,1
0.102675,1
0.097484,1
0.058824,1
0.072727,1
0.154135,1
0.09311,1
0.115385,1
0.093063,1
0.119328,1
0.110368,1
0.121324,1
0.101083,1
0.109005,1
0.091418,1
0.091398,1
0.082621,1
0.107246,1
0.092308,1
0.085586,1
0.118836,1
0.12987,1
0.081197,1
0.149068,1
0.102981,1
0.080675,1
0.111111,1
0.107623,1
0.12761,1
0.154545,1
0.069444,1
0.084642,1
0.083744,1
0.104478,1
0.137809,1
0.058442,1
0.062635,1
0.104693,1
0.095238,1
0.079293,1
0.107692,1
0.076923,1
0.098712,1
0.079096,1
0.085821,1
0.06801,1
0.088608,1
0.083538,1
0.091922,1
0.073913,1
0.153689,1
0.095847,1
0.09375,1
0.051576,1
0.137705,1
0.086111,1
0.076321,1
0.05305,1
0.082164,1
0.103614,1
0.07197,1
0.11875,1
0.104564,1
0.084577,1
0.090909,1
0.05,1
0.068421,1
0.089686,1
0.074419,1
0.085,1
0.097087,1
0.091854,1
0.132432,1
0.081731,1
0.076271,1
0.130597,1
0.085526,1
0.056748,1
0.119231,1
0.094017,1
0.083333,1
0.092637,1
0.139241,1
0.105455,1
0.096267,1
0.118081,1
0.09587,1
0.015,1
0.109005,1
0.095238,1
0.068783,1
0.1,1
0.120253,1
0.121413,1
0.088,1
0.058065,1
0.080906,1
0.050633,1
0.111801,1
0.157729,1
0.0625,1
0.074468,1
0.123779,1
0.090498,1
0.082569,1
0.1341,1
0.074194,1
0.039216,1
0.086705,1
0.136126,1
0.090625,1
0.073298,1
0.047244,1
0.056962,1
0.055814,1
0.094241,1
0.076336,1
0.109756,1
0.093897,1
0.094891,1
0.052632,1
0.088,1
0.085714,1
0.102381,1
0.097804,1
0.15625,1
0.147436,1
0.074219,1
0.107492,1
0.064078,1
0.043062,1
0.07451,1
0.085973,1
0.089202,1
0.104167,1
0.07393,1
0.068548,1
0.08658,1
0.104348,1
0.060345,1
0.140127,1
0.076233,1
0.105882,1
0.209302,1
0.098214,1
0.082031,1
0.088235,1
0.081545,1
0.070175,1
0.053977,1
0.091743,1
0.080408,1
0.082126,1
0.08169,1
0.117647,1
0.066496,1
0.076923,1
0.083512,1
0.073059,1
0.087786,1
0.061489,1
0.103093,1
0.10099,1
0.086124,1
0.098107,1
0.07377,1
0.080508,1
0.07012,1
0.075975,1
0.07483,1
0.079365,1
0.155317,1
0.051282,1
0.037736,1
0.152727,1
0.082949,1
0.11066,1
0.088889,1
0.086735,1
0.168317,1
0.129032,1
0.12,1
0.168317,1
0.083333,1
0.075581,1
0.140625,1
0.168297,1
0.085859,1
0.075171,1
0.135849,1
0.070621,1
0.115063,1
0.069149,1
0.074268,1
0.08377,1
0.139535,1
0.093182,1
0.133197,1
0.090909,1
0.086957,1
0.099448,1
0.147887,1
0.084112,1
0.114583,1
0.089474,1
0.101928,1
0.130919,1
0.076531,1
0.095588,1
0.082353,1
0.095023,1
0.094565,1
0.087209,1
0.091164,1
0.008403,1
0.086572,1
0.071048,1
0.110169,1
0.10101,1
0.05,1
0.067146,1
0.079903,1
0.041667,1
0.086475,1
0.13125,1
0.096045,1
0.080402,1
0.184,1
0.101911,1
0.133441,1
0.10566,1
0.065955,1
0.060109,1
0.081633,1
0.18038,1
0.165485,1
0.15812,1
0.140625,1
0.098194,1
0.078729,1
0.091743,1
0.115942,1
0.154206,1
0.073427,1
0.143443,1
0.066421,1
0.152466,1
0.097902,1
0.10396,1
0.094527,1
0.084746,1
0.0625,1
0.114561,1
0.117647,1
0.046693,1
0.197605,1
0.113924,1
0.152824,1
0.081023,1
0.098712,1
0.070652,1
0.133508,1
0.10994,1
0.052083,1
0.059459,1
0.077803,1
0.119403,1
0.097826,1
0.130435,1
0.082126,1
0.077181,1
0.080574,1
0.106038,1
0.164384,1
0.146552,1
0.121212,1
0.131579,1
0.140351,1
0.106796,1
0.082192,1
0.091346,1
0.139423,1
0.146667,1
0.141463,1
0.158879,1
0.10989,1
0.084507,1
0.088235,1
0.092702,1
0.11938,1
0.13253,1
0.108614,1
0.12766,1
0.066734,1
0.085106,1
0.079439,1
0.096491,1
0.126697,1
0.100295,1
0.106796,1
0.071602,1
0.072177,1
0.094296,1
0.094595,1
0.125749,1
0.110345,1
0.120332,1
0.117647,1
0.12381,1
0.149321,1
0.096983,1
0.121212,1
0.059829,1
0.083333,1
0.067961,1
0.136564,1
0.160976,1
0.113368,1
0.102804,1
0.089727,1
0.069652,1
0.114794,1
0.11828,1
0.081712,1
0.113636,1
0.105556,1
0.069608,1
0.119149,1
0.074627,1
0.111607,1
0.07438,1
0.084507,1
0.094086,1
0.111111,1
0.105058,1
0.084034,1
0.048458,1
0.08078,1
0.078261,1
0.060726,1
0.101563,1
0.097625,1
0.119403,1
0.064,1
0.092593,1
0.085878,1
0.099757,1
0.104247,1
0.0625,1
0.100592,1
0.101124,1
0.045455,1
0.114583,1
0.082418,1
0.075444,1
0.093301,1
0.090323,1
0.090411,1
0.077778,1
0.085169,1
0.110448,1
0.112532,1
0.044118,1
0.065292,1
0.094862,1
0.097104,1
0.08867,1
0.118577,1
0.086957,1
